[Trader][2018-01-24 09:26:48,731][INFO] - =========== START =============
[Trader][2018-01-24 09:26:50,344][INFO] - [XLTCZEUR][H_1800_3_2_90_70] ====Trading System TradingSystem1 started===== pair=XLTCZEUR, simul=True, step=1800, local_stop_loss=90%, stop_loss=70%, wick=True, candles=3, bodies=2
[Trader][2018-01-24 09:26:50,347][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 08:26:48.761703
[Trader][2018-01-24 09:26:50,666][INFO] - [XXRPZEUR][H_1800_3_2_90_70] ====Trading System TradingSystem1 started===== pair=XXRPZEUR, simul=True, step=1800, local_stop_loss=90%, stop_loss=70%, wick=True, candles=3, bodies=2
[Trader][2018-01-24 09:26:50,668][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 08:26:48.761842
[Trader][2018-01-24 09:26:51,106][INFO] - [XETHZEUR][H_1800_3_2_90_70] ====Trading System TradingSystem1 started===== pair=XETHZEUR, simul=True, step=1800, local_stop_loss=90%, stop_loss=70%, wick=True, candles=3, bodies=2
[Trader][2018-01-24 09:26:51,108][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 08:26:48.765760
[Trader][2018-01-24 09:26:51,287][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 09:26:51,288][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 09:26:51,289][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 09:36:51.289094
[Trader][2018-01-24 09:26:51,423][INFO] - [XXBTZEUR][H_1800_3_2_90_70] ====Trading System TradingSystem1 started===== pair=XXBTZEUR, simul=True, step=1800, local_stop_loss=90%, stop_loss=70%, wick=True, candles=3, bodies=2
[Trader][2018-01-24 09:26:51,426][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 08:26:48.766150
