[market_data.assets][2018-01-21 19:54:14,885][INFO] - Trade Update : trade sign Signal.BUY @0.839940.
[market_data.assets][2018-01-21 19:55:09,470][INFO] - Trade Update : trade sign Signal.SELL @0.843230.
[market_data.assets][2018-01-21 19:55:09,540][INFO] - Trade Update : trade sign Signal.BUY @0.844920.
[market_data.assets][2018-01-21 19:55:09,625][INFO] - Trade Update : trade sign Signal.SELL @0.891120.
[market_data.assets][2018-01-21 19:55:09,687][INFO] - Trade Update : trade sign Signal.BUY @0.919000.
[market_data.assets][2018-01-21 19:55:09,765][INFO] - Trade Update : trade sign Signal.SELL @0.988000.
[market_data.assets][2018-01-21 19:55:09,848][INFO] - Trade Update : trade sign Signal.BUY @0.994220.
[market_data.assets][2018-01-21 19:55:09,919][INFO] - Trade Update : trade sign Signal.SELL @1.022970.
[market_data.assets][2018-01-21 19:55:10,095][INFO] - Trade Update : trade sign Signal.BUY @1.745000.
[market_data.assets][2018-01-21 19:55:10,155][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @1.649970.
[market_data.assets][2018-01-21 19:55:10,216][INFO] - Trade Update : trade sign Signal.BUY @1.667030.
[market_data.assets][2018-01-21 19:55:10,268][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @1.531000.
[market_data.assets][2018-01-21 19:55:10,318][INFO] - Trade Update : trade sign Signal.BUY @1.531470.
[market_data.assets][2018-01-21 19:55:10,359][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @1.451840.
[market_data.assets][2018-01-21 19:55:10,403][INFO] - Trade Update : trade sign Signal.BUY @1.410010.
[market_data.assets][2018-01-21 19:55:10,449][INFO] - Trade Update : trade sign Signal.SELL @1.630300.
[market_data.assets][2018-01-21 19:55:10,503][INFO] - Trade Update : trade sign Signal.BUY @1.623000.
[market_data.assets][2018-01-21 19:55:10,548][INFO] - Trade Update : trade sign Signal.SELL @1.731000.
[market_data.assets][2018-01-21 19:55:10,639][INFO] - Trade Update : trade sign Signal.BUY @1.597000.
[market_data.assets][2018-01-21 19:55:10,676][INFO] - Trade Update : trade sign Signal.SELL @1.637500.
[market_data.assets][2018-01-21 19:55:10,947][INFO] - Trade Update : trade sign Signal.BUY @2.600000.
[market_data.assets][2018-01-21 19:55:10,998][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @2.430000.
[market_data.assets][2018-01-21 19:55:11,031][INFO] - Trade Update : trade sign Signal.BUY @2.370580.
[market_data.assets][2018-01-21 19:55:11,087][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @2.222010.
[market_data.assets][2018-01-21 19:55:11,132][INFO] - Trade Update : trade sign Signal.BUY @2.197800.
[market_data.assets][2018-01-21 19:55:11,188][INFO] - Trade Update : trade sign Signal.SELL @2.339580.
[market_data.assets][2018-01-21 19:55:11,238][INFO] - Trade Update : trade sign Signal.BUY @2.270020.
[market_data.assets][2018-01-21 19:55:11,291][INFO] - Trade Update : trade sign Signal.LOCAL_STOP_LOSS @2.155000.
[market_data.assets][2018-01-21 19:55:11,332][INFO] - Trade Update : trade sign Signal.BUY @2.030000.
