,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,2358.3,1,1514109360,-100.0,2017-12-24 09:56:00
1,1,2250.0,-1,1514118000,95.4077089429,2017-12-24 12:20:00
2,2,2272.1,1,1514129160,-95.4077089429,2017-12-24 15:26:00
3,2,2283.7,-1,1514147520,95.8948043277,2017-12-24 20:32:00
4,3,2260.0,1,1514153280,-95.8948043277,2017-12-24 22:08:00
5,3,2337.1,-1,1514155800,99.1662598204,2017-12-24 22:50:00
6,4,2343.0,1,1514164080,-99.1662598204,2017-12-25 01:08:00
7,4,2348.6,-1,1514173080,99.403276916,2017-12-25 03:38:00
8,5,2359.9,1,1514181360,-99.403276916,2017-12-25 05:56:00
9,5,2372.7,-1,1514186040,99.9424361789,2017-12-25 07:14:00
10,6,2380.0,1,1514194680,-99.9424361789,2017-12-25 09:38:00
11,6,2432.0,-1,1514197200,102.126052432,2017-12-25 10:20:00
12,7,2402.4,1,1514201520,-102.126052432,2017-12-25 11:32:00
13,7,2414.0,-1,1514205120,102.619168569,2017-12-25 12:32:00
14,8,2412.0,1,1514209080,-102.619168569,2017-12-25 13:38:00
15,8,2365.0,-1,1514218440,100.619541321,2017-12-25 16:14:00
16,9,2315.0,1,1514235360,-100.619541321,2017-12-25 20:56:00
17,9,2339.3,-1,1514244360,101.675720523,2017-12-25 23:26:00
18,10,2320.8,1,1514246520,-101.675720523,2017-12-26 00:02:00
19,10,2301.9,-1,1514259480,100.847699531,2017-12-26 03:38:00
20,11,2353.8,1,1514263800,-100.847699531,2017-12-26 04:50:00
21,11,2389.7,-1,1514265240,102.385821892,2017-12-26 05:14:00
22,12,2380.4,1,1514285760,-102.385821892,2017-12-26 10:56:00
23,12,2362.1,-1,1514289360,101.598701853,2017-12-26 11:56:00
24,13,2353.0,1,1514290440,-101.598701853,2017-12-26 12:14:00
25,13,2399.0,-1,1514330040,103.58490682,2017-12-26 23:14:00
26,14,2386.4,1,1514341920,-103.58490682,2017-12-27 02:32:00
27,14,2380.4,-1,1514346600,103.324468737,2017-12-27 03:50:00
28,15,2363.2,1,1514351280,-103.324468737,2017-12-27 05:08:00
29,15,2341.1,-1,1514373600,102.358206567,2017-12-27 11:20:00
30,16,2334.5,1,1514380440,-102.358206567,2017-12-27 13:14:00
31,16,2227.1,-1,1514396640,97.6491590686,2017-12-27 17:44:00
32,17,2229.8,1,1514404560,-97.6491590686,2017-12-27 19:56:00
33,17,2260.0,-1,1514410320,98.9717012714,2017-12-27 21:32:00
34,18,2254.9,1,1514416440,-98.9717012714,2017-12-27 23:14:00
35,18,2274.0,-1,1514417520,99.8100353414,2017-12-27 23:32:00
36,19,2250.3,1,1514421480,-99.8100353414,2017-12-28 00:38:00
37,19,2267.0,-1,1514424720,100.550748842,2017-12-28 01:32:00
38,20,2236.4,1,1514427600,-100.550748842,2017-12-28 02:20:00
39,20,2174.3,-1,1514431560,97.7586716182,2017-12-28 03:26:00
