,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,900.0,1,1514114760,-100.0,2017-12-24 11:26:00
1,1,930.962,-1,1514127360,103.440222222,2017-12-24 14:56:00
2,2,889.86,1,1514143560,-103.440222222,2017-12-24 19:26:00
3,2,965.0,-1,1514157960,112.174740346,2017-12-24 23:26:00
4,3,964.352,1,1514217360,-112.174740346,2017-12-25 15:56:00
5,3,980.0,-1,1514262360,113.994937055,2017-12-26 04:26:00
6,4,972.048,1,1514314560,-113.994937055,2017-12-26 18:56:00
7,4,991.198,-1,1514348760,116.240714059,2017-12-27 04:26:00
8,5,975.501,1,1514368560,-116.240714059,2017-12-27 09:56:00
9,5,962.914,-1,1514418960,114.740846947,2017-12-27 23:56:00
10,6,919.874,1,1514431560,-114.740846947,2017-12-28 03:26:00
11,6,916.15,-1,1514454960,114.276332335,2017-12-28 09:56:00
12,7,920.001,1,1514534160,-114.276332335,2017-12-29 07:56:00
13,7,929.001,-1,1514557560,115.394251762,2017-12-29 14:26:00
14,8,914.659,1,1514584560,-115.394251762,2017-12-29 21:56:00
15,8,820.0,-1,1514658360,103.451982045,2017-12-30 18:26:00
16,9,814.714,1,1514678160,-103.451982045,2017-12-30 23:56:00
17,9,839.0,-1,1514732160,106.535806351,2017-12-31 14:56:00
18,10,855.985,1,1514766360,-106.535806351,2018-01-01 00:26:00
