,BODY,CANDLES,CCY,PNL,STEP
0,2,2,XXRPZEUR,-3.02674188411,360.0
1,3,2,XXRPZEUR,0.0,360.0
2,2,3,XXRPZEUR,-14.1893229595,360.0
3,3,3,XXRPZEUR,-6.08677524104,360.0
4,2,4,XXRPZEUR,17.9049400549,360.0
5,3,4,XXRPZEUR,35.2748506143,360.0
6,2,5,XXRPZEUR,28.4951461135,360.0
7,3,5,XXRPZEUR,116.018465987,360.0
8,2,2,XXRPZEUR,68.582071016,1800.0
9,3,2,XXRPZEUR,0.0,1800.0
10,2,3,XXRPZEUR,37.7007917196,1800.0
11,3,3,XXRPZEUR,8.78336453516,1800.0
12,2,4,XXRPZEUR,29.7754733811,1800.0
13,3,4,XXRPZEUR,16.1977475776,1800.0
14,2,5,XXRPZEUR,64.5865850064,1800.0
15,3,5,XXRPZEUR,22.7505607403,1800.0
16,2,2,XXRPZEUR,-5.0538263899,3600.0
17,3,2,XXRPZEUR,0.0,3600.0
18,2,3,XXRPZEUR,23.1591905242,3600.0
19,3,3,XXRPZEUR,40.0191262314,3600.0
20,2,4,XXRPZEUR,0.741640641942,3600.0
21,3,4,XXRPZEUR,11.8902439024,3600.0
22,2,5,XXRPZEUR,7.12895692787,3600.0
23,3,5,XXRPZEUR,11.8902439024,3600.0
24,2,2,XXRPZEUR,-6.16553102027,7200.0
25,3,2,XXRPZEUR,0.0,7200.0
26,2,3,XXRPZEUR,31.0099768123,7200.0
27,3,3,XXRPZEUR,32.8042682927,7200.0
28,2,4,XXRPZEUR,17.9289655172,7200.0
29,3,4,XXRPZEUR,0.0,7200.0
30,2,5,XXRPZEUR,30.9379310345,7200.0
31,3,5,XXRPZEUR,0.0,7200.0
32,2,2,XXRPZEUR,0.0,43200.0
33,3,2,XXRPZEUR,0.0,43200.0
34,2,3,XXRPZEUR,0.0,43200.0
35,3,3,XXRPZEUR,0.0,43200.0
36,2,4,XXRPZEUR,0.0,43200.0
37,3,4,XXRPZEUR,0.0,43200.0
38,2,5,XXRPZEUR,0.0,43200.0
39,3,5,XXRPZEUR,0.0,43200.0
