,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
0,23.17025,GREEN,25.58,21.1,23.085375,23.0,1514144220,2017-12-24 19:37:00
1,24.112,GREEN,25.0,22.724,23.1278125,24.362,1514187420,2017-12-25 07:37:00
2,24.72,GREEN,25.4,23.5,23.61990625,24.99,1514230620,2017-12-25 19:37:00
3,24.92375,GREEN,25.767,24.0,24.169953125,24.964,1514273820,2017-12-26 07:37:00
4,25.08125,GREEN,25.471,24.502,24.5468515625,25.176,1514317020,2017-12-26 19:37:00
5,25.065,GREEN,25.55,24.54,24.8140507812,25.1,1514360220,2017-12-27 07:37:00
6,24.31725,RED,25.321,23.68,24.9395253906,24.134,1514403420,2017-12-27 19:37:00
7,23.25675,RED,24.644,22.2,24.6283876953,23.09,1514446620,2017-12-28 07:37:00
8,22.687,RED,24.118,21.672,23.9425688477,22.55,1514489820,2017-12-28 19:37:00
9,23.39,GREEN,24.16,22.408,23.3147844238,23.496,1514533020,2017-12-29 07:37:00
10,23.62275,GREEN,24.5,22.505,23.3523922119,23.743,1514576220,2017-12-29 19:37:00
11,23.1415,RED,24.38,22.5,23.487571106,22.843,1514619420,2017-12-30 07:37:00
12,21.87325,RED,23.85,20.903,23.314535553,21.37,1514662620,2017-12-30 19:37:00
13,20.82675,RED,22.5938927765,20.31,22.5938927765,20.76,1514705820,2017-12-31 07:37:00
14,24.9525,GREEN,27.3,20.667,21.7103213882,25.862,1514792220,2018-01-01 07:37:00
15,25.403,GREEN,26.5,23.3314106941,23.3314106941,25.883,1514835420,2018-01-01 19:37:00
16,25.57725,GREEN,26.969,24.3672053471,24.3672053471,25.32,1514878620,2018-01-02 07:37:00
17,26.93,GREEN,29.8,24.9722276735,24.9722276735,26.3,1514921820,2018-01-02 19:37:00
18,26.808,GREEN,28.0,25.9511138368,25.9511138368,26.566,1514965020,2018-01-03 07:37:00
19,26.54325,GREEN,26.998,25.8,26.3795569184,26.575,1515008220,2018-01-03 19:37:00
20,27.0855,GREEN,28.0,26.4,26.4614034592,27.0,1515051420,2018-01-04 07:37:00
21,29.724,GREEN,31.5,26.03,26.7734517296,30.683,1515094620,2018-01-04 19:37:00
22,29.3395,GREEN,30.839,28.2487258648,28.2487258648,29.008,1515137820,2018-01-05 07:37:00
23,27.32425,RED,29.45,26.2,28.7941129324,26.76,1515181020,2018-01-05 19:37:00
24,27.1685,RED,28.315,26.01,28.0591814662,27.149,1515224220,2018-01-06 07:37:00
25,27.6505,GREEN,28.886,26.712,27.6138407331,27.502,1515267420,2018-01-06 19:37:00
26,28.5,GREEN,29.45,27.5,27.6321703665,28.525,1515310620,2018-01-07 07:37:00
27,29.04925,GREEN,29.764,28.0660851833,28.0660851833,29.02,1515353820,2018-01-07 19:37:00
28,29.81525,GREEN,30.69,28.551,28.5576675916,30.01,1515397020,2018-01-08 07:37:00
29,28.07175,RED,30.072,24.01,29.1864587958,29.102,1515440220,2018-01-08 19:37:00
30,28.0385,RED,29.498,27.4,28.6291043979,27.632,1515483420,2018-01-09 07:37:00
31,28.7715,GREEN,29.9,27.0,28.333802199,28.986,1515526620,2018-01-09 19:37:00
32,30.149,GREEN,32.79,28.5526510995,28.5526510995,28.77,1515569820,2018-01-10 07:37:00
33,30.59075,GREEN,32.249,28.0,29.3508255497,31.05,1515613020,2018-01-10 19:37:00
