,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,525.02,1,1514115420,-100.0,2017-12-24 11:37:00
1,1,555.57,-1,1514128020,105.818825949,2017-12-24 15:07:00
2,2,531.95,1,1514144220,-105.818825949,2017-12-24 19:37:00
3,2,588.11,-1,1514162220,116.990524916,2017-12-25 00:37:00
4,3,595.64,1,1514394420,-116.990524916,2017-12-27 17:07:00
5,3,619.97,-1,1514403420,121.769215856,2017-12-27 19:37:00
6,4,613.06,1,1514545620,-121.769215856,2017-12-29 11:07:00
7,4,625.0,-1,1514561820,124.140801732,2017-12-29 15:37:00
8,5,609.13,1,1514601420,-124.140801732,2017-12-30 02:37:00
9,5,614.39,-1,1514624820,125.212790662,2017-12-30 09:07:00
10,6,595.95,1,1514691420,-125.212790662,2017-12-31 03:37:00
11,6,599.99,-1,1514722020,126.061619715,2017-12-31 12:07:00
12,7,623.37,1,1514774220,-126.061619715,2018-01-01 02:37:00
13,7,638.95,-1,1514783220,129.212300748,2018-01-01 05:07:00
14,8,630.45,1,1514806620,-129.212300748,2018-01-01 11:37:00
15,8,641.15,-1,1514839020,131.405292449,2018-01-01 20:37:00
16,9,790.96,1,1515175620,-131.405292449,2018-01-05 18:07:00
17,9,822.0,-1,1515235020,136.562089604,2018-01-06 10:37:00
18,10,920.0,1,1515404220,-136.562089604,2018-01-08 09:37:00
19,10,935.7,-1,1515436620,138.89255135,2018-01-08 18:37:00
20,11,1057.93,1,1515573420,-138.89255135,2018-01-10 08:37:00
