,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
0,220.01,RED,235.88,200.76,220.855,221.7,1514136360,2017-12-24 17:26:00
1,224.9,GREEN,232.73,207.19,220.4325,229.84,1514179560,2017-12-25 05:26:00
2,228.745,GREEN,239.85,222.66625,222.66625,225.75,1514222760,2017-12-25 17:26:00
3,228.7275,GREEN,232.08,220.03,225.705625,230.91,1514265960,2017-12-26 05:26:00
4,234.09,GREEN,239.1,226.5,227.2165625,235.76,1514309160,2017-12-26 17:26:00
5,234.4875,GREEN,237.87,230.0,230.65328125,235.04,1514352360,2017-12-27 05:26:00
6,222.05,RED,235.5,215.0,232.570390625,218.34,1514395560,2017-12-27 17:26:00
7,213.26,RED,227.310195313,207.45,227.310195313,209.67,1514438760,2017-12-28 05:26:00
8,208.8975,RED,222.34,203.01,220.285097656,205.25,1514481960,2017-12-28 17:26:00
9,209.46,RED,218.01,194.79,214.591298828,211.85,1514525160,2017-12-29 05:26:00
10,210.2925,RED,216.18,201.0,212.025649414,211.99,1514568360,2017-12-29 17:26:00
11,198.8175,RED,213.62,191.0,211.159074707,195.84,1514611560,2017-12-30 05:26:00
12,182.79,RED,204.988287354,172.44,204.988287354,179.76,1514654760,2017-12-30 17:26:00
13,186.0075,RED,194.77,175.5,193.889143677,186.89,1514697960,2017-12-31 05:26:00
14,191.4425,GREEN,201.77,176.0,189.948321838,194.0,1514784360,2018-01-01 05:26:00
15,192.3475,GREEN,200.5,187.51,190.695410919,190.7,1514827560,2018-01-01 17:26:00
