,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,213.5,1,1514114760,-100.0,2017-12-24 11:26:00
1,1,217.8,-1,1514150760,102.014051522,2017-12-24 21:26:00
2,2,231.18,1,1514330760,-102.014051522,2017-12-26 23:26:00
3,2,212.31,-1,1514449560,93.6871843528,2017-12-28 08:26:00
4,3,205.25,1,1514481960,-93.6871843528,2017-12-28 17:26:00
5,3,207.99,-1,1514503560,94.9378683242,2017-12-28 23:26:00
6,4,210.14,1,1514535960,-94.9378683242,2017-12-29 08:26:00
7,4,206.0,-1,1514561160,93.0674829865,2017-12-29 15:26:00
8,5,208.9,1,1514575560,-93.0674829865,2017-12-29 19:26:00
9,5,185.25,-1,1514665560,82.5311212219,2017-12-30 20:26:00
10,6,180.5,1,1514679960,-82.5311212219,2017-12-31 00:26:00
11,6,182.44,-1,1514726760,83.4181593115,2017-12-31 13:26:00
12,7,187.67,1,1514773560,-83.4181593115,2018-01-01 02:26:00
13,7,194.0,-1,1514784360,86.2318053308,2018-01-01 05:26:00
14,8,189.0,1,1514816760,-86.2318053308,2018-01-01 14:26:00
