,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,219.23,1,1514121960,-100.0,2017-12-24 13:26:00
1,1,227.76,-1,1514165160,103.890890845,2017-12-25 01:26:00
2,2,225.75,1,1514222760,-103.890890845,2017-12-25 17:26:00
3,2,230.0,-1,1514273160,105.846754792,2017-12-26 07:26:00
4,3,229.58,1,1514373960,-105.846754792,2017-12-27 11:26:00
5,3,210.14,-1,1514510760,96.8840362928,2017-12-29 01:26:00
6,4,204.31,1,1514546760,-96.8840362928,2017-12-29 11:26:00
7,4,185.0,-1,1514733960,87.727212149,2017-12-31 15:26:00
8,5,191.25,1,1514777160,-87.727212149,2018-01-01 03:26:00
9,5,199.0,-1,1514791560,91.2821710727,2018-01-01 07:26:00
10,6,192.0,1,1514820360,-91.2821710727,2018-01-01 15:26:00
