,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
0,60.0355,RED,60.484,59.5,60.05725,59.706,1514103960,2017-12-24 08:26:00
1,60.0485,GREEN,60.488,59.706,60.046375,60.0,1514105760,2017-12-24 08:56:00
2,60.43225,GREEN,60.583,60.0,60.0474375,60.563,1514107560,2017-12-24 09:26:00
3,59.978,RED,61.967,59.315,60.23984375,59.315,1514109360,2017-12-24 09:56:00
4,55.51475,RED,60.108921875,54.0,60.108921875,54.1,1514111160,2017-12-24 10:26:00
5,54.77,RED,57.8118359375,52.617,57.8118359375,55.224,1514112960,2017-12-24 10:56:00
6,53.186,RED,56.2909179687,52.32,56.2909179687,52.6,1514114760,2017-12-24 11:26:00
7,52.50825,RED,54.7384589844,52.3,54.7384589844,52.334,1514116560,2017-12-24 11:56:00
8,54.34825,GREEN,57.678,52.211,53.6233544922,53.502,1514118360,2017-12-24 12:26:00
9,53.2265,RED,54.002,52.0,53.9858022461,53.452,1514120160,2017-12-24 12:56:00
10,54.77625,GREEN,55.104,52.809,53.606151123,56.192,1514121960,2017-12-24 13:26:00
11,55.785,GREEN,56.192,54.1912005615,54.1912005615,55.974,1514123760,2017-12-24 13:56:00
12,55.397,GREEN,56.17,53.518,54.9881002808,55.95,1514125560,2017-12-24 14:26:00
13,56.92425,GREEN,58.286,55.1925501404,55.1925501404,56.905,1514127360,2017-12-24 14:56:00
14,55.408,RED,58.295,53.617,56.0584000702,56.103,1514129160,2017-12-24 15:26:00
15,54.357,RED,56.103,53.101,55.7332000351,54.112,1514130960,2017-12-24 15:56:00
16,54.64175,RED,55.0451000175,54.112,55.0451000175,54.808,1514132760,2017-12-24 16:26:00
17,55.99075,GREEN,57.024,54.808,54.8434250088,56.064,1514134560,2017-12-24 16:56:00
18,56.11225,GREEN,57.055,55.39,55.4170875044,56.002,1514136360,2017-12-24 17:26:00
19,55.264,RED,56.006,55.0,55.7646687522,55.025,1514138160,2017-12-24 17:56:00
20,54.13575,RED,55.5143343761,53.5,55.5143343761,54.009,1514139960,2017-12-24 18:26:00
21,54.952,GREEN,55.799,54.009,54.825042188,55.0,1514141760,2017-12-24 18:56:00
22,53.279,RED,55.0,52.702,54.888521094,52.707,1514143560,2017-12-24 19:26:00
23,53.34825,RED,54.083760547,52.707,54.083760547,53.496,1514145360,2017-12-24 19:56:00
24,54.6295,GREEN,55.169,53.035,53.7160052735,55.157,1514147160,2017-12-24 20:26:00
25,54.733,GREEN,55.157,53.813,54.1727526368,54.981,1514148960,2017-12-24 20:56:00
26,54.73475,GREEN,55.14,54.4528763184,54.4528763184,54.655,1514150760,2017-12-24 21:26:00
27,55.03825,GREEN,55.5,54.185,54.5938131592,55.25,1514152560,2017-12-24 21:56:00
28,55.3405,GREEN,55.5,54.8160315796,54.8160315796,55.5,1514154360,2017-12-24 22:26:00
29,55.975,GREEN,56.3,55.004,55.0782657898,56.298,1514156160,2017-12-24 22:56:00
30,56.81225,GREEN,57.0,55.5266328949,55.5266328949,57.0,1514157960,2017-12-24 23:26:00
31,57.40625,GREEN,57.966,56.1694414474,56.1694414474,57.514,1514159760,2017-12-24 23:56:00
32,58.2855,GREEN,58.548,56.7878457237,56.7878457237,58.54,1514161560,2017-12-25 00:26:00
33,58.43175,GREEN,58.989,57.004,57.5366728619,58.867,1514163360,2017-12-25 00:56:00
34,57.9775,RED,58.99,57.0,57.9842114309,57.96,1514165160,2017-12-25 01:26:00
35,57.6515,RED,57.9808557155,57.008,57.9808557155,57.99,1514166960,2017-12-25 01:56:00
36,57.75425,RED,57.991,57.5,57.8161778577,57.763,1514168760,2017-12-25 02:26:00
37,56.82175,RED,57.7852139289,56.502,57.7852139289,56.51,1514170560,2017-12-25 02:56:00
38,56.727,RED,57.3034819644,56.51,57.3034819644,56.747,1514172360,2017-12-25 03:26:00
39,57.093,GREEN,57.951,56.747,57.0152409822,56.508,1514174160,2017-12-25 03:56:00
40,56.7225,RED,57.166,55.956,57.0541204911,56.884,1514175960,2017-12-25 04:26:00
41,56.482,RED,56.8883102456,56.276,56.8883102456,56.384,1514177760,2017-12-25 04:56:00
42,57.0415,GREEN,57.262,56.384,56.6851551228,57.26,1514179560,2017-12-25 05:26:00
43,57.8075,GREEN,57.99,56.8633275614,56.8633275614,57.99,1514181360,2017-12-25 05:56:00
