,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,52.6,1,1514114760,-100.0,2017-12-24 11:26:00
1,1,56.905,-1,1514127360,108.184410646,2017-12-24 14:56:00
2,2,56.51,1,1514170560,-108.184410646,2017-12-25 02:56:00
3,2,58.506,-1,1514183160,112.005611914,2017-12-25 06:26:00
4,3,58.63,1,1514242560,-112.005611914,2017-12-25 22:56:00
5,3,66.66,-1,1514255160,127.345967767,2017-12-26 02:26:00
6,4,68.027,1,1514294760,-127.345967767,2017-12-26 13:26:00
7,4,70.177,-1,1514301960,131.370749556,2017-12-26 15:26:00
8,5,70.507,1,1514321760,-131.370749556,2017-12-26 20:56:00
9,5,69.381,-1,1514345160,129.272752704,2017-12-27 03:26:00
10,6,68.03,1,1514364960,-129.272752704,2017-12-27 08:56:00
11,6,67.914,-1,1514420760,129.052325844,2017-12-28 00:26:00
12,7,64.0,1,1514435160,-129.052325844,2017-12-28 04:26:00
13,7,60.596,-1,1514499960,122.188355263,2017-12-28 22:26:00
14,8,62.4,1,1514534160,-122.188355263,2017-12-29 07:56:00
15,8,64.699,-1,1514561160,126.69013457,2017-12-29 15:26:00
16,9,60.0,1,1514598960,-126.69013457,2017-12-30 01:56:00
17,9,59.077,-1,1514615160,124.741218,2017-12-30 06:26:00
18,10,56.488,1,1514640360,-124.741218,2017-12-30 13:26:00
19,10,55.398,-1,1514690760,122.33419478,2017-12-31 03:26:00
20,11,58.26,1,1514771760,-122.33419478,2018-01-01 01:56:00
21,11,59.8,-1,1514825760,125.56788273,2018-01-01 16:56:00
