,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,70.179,1,1514334360,-100.0,2017-12-27 00:26:00
1,1,60.596,-1,1514499960,86.3449179954,2017-12-28 22:26:00
2,2,62.2,1,1514535960,-86.3449179954,2017-12-29 08:26:00
3,2,64.699,-1,1514561160,89.8139847168,2017-12-29 15:26:00
4,3,61.586,1,1514579160,-89.8139847168,2017-12-29 20:26:00
5,3,62.602,-1,1514593560,91.2956690034,2017-12-30 00:26:00
6,4,58.403,1,1514604360,-91.2956690034,2017-12-30 03:26:00
7,4,56.838,-1,1514726760,88.8492583397,2017-12-31 13:26:00
8,5,57.799,1,1514773560,-88.8492583397,2018-01-01 02:26:00
9,5,62.75,-1,1514787960,96.4599899793,2018-01-01 06:26:00
10,6,59.978,1,1514809560,-96.4599899793,2018-01-01 12:26:00
11,6,60.077,-1,1514827560,96.6192073425,2018-01-01 17:26:00
