,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,11350.0,1,1514111160,-100.0,2017-12-24 10:26:00
1,1,11534.5,-1,1514127360,101.625550661,2017-12-24 14:56:00
2,2,10633.8,1,1514143560,-101.625550661,2017-12-24 19:26:00
3,2,11912.2,-1,1514183160,113.843017979,2017-12-25 06:26:00
4,3,11351.0,1,1514213760,-113.843017979,2017-12-25 14:56:00
5,3,12170.0,-1,1514260560,122.05704597,2017-12-26 03:56:00
6,4,13020.8,1,1514330760,-122.05704597,2017-12-26 23:26:00
7,4,13594.5,-1,1514355960,127.434912711,2017-12-27 06:26:00
8,5,13268.1,1,1514366760,-127.434912711,2017-12-27 09:26:00
9,5,12500.0,-1,1514454960,120.057612536,2017-12-28 09:56:00
10,6,11905.9,1,1514481960,-120.057612536,2017-12-28 17:26:00
11,6,12093.9,-1,1514492760,121.953381118,2017-12-28 20:26:00
12,7,12441.2,1,1514535960,-121.953381118,2017-12-29 08:26:00
13,7,12544.9,-1,1514566560,122.969888016,2017-12-29 16:56:00
14,8,12067.0,1,1514595360,-122.969888016,2017-12-30 00:56:00
15,8,11044.6,-1,1514661960,112.551025539,2017-12-30 19:26:00
16,9,10811.4,1,1514703360,-112.551025539,2017-12-31 06:56:00
17,9,11105.2,-1,1514721360,115.609601793,2017-12-31 11:56:00
18,10,11900.0,1,1514762760,-115.609601793,2017-12-31 23:26:00
