,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,265.06,1,1514118360,-100.0,2017-12-24 12:26:00
1,1,272.23,-1,1514154360,102.705047914,2017-12-24 22:26:00
2,2,284.33,1,1514215560,-102.705047914,2017-12-25 15:26:00
3,2,286.09,-1,1514251560,103.340791185,2017-12-26 01:26:00
4,3,290.1,1,1514291160,-103.340791185,2017-12-26 12:26:00
5,3,310.0,-1,1514337960,110.429663107,2017-12-27 01:26:00
6,4,315.5,1,1514370360,-110.429663107,2017-12-27 10:26:00
7,4,307.02,-1,1514402760,107.461537772,2017-12-27 19:26:00
8,5,299.15,1,1514409960,-107.461537772,2017-12-27 21:26:00
9,5,316.02,-1,1514420760,113.521628503,2017-12-28 00:26:00
10,6,293.36,1,1514431560,-113.521628503,2017-12-28 03:26:00
11,6,293.75,-1,1514449560,113.672546949,2017-12-28 08:26:00
12,7,290.33,1,1514463960,-113.672546949,2017-12-28 12:26:00
13,7,299.3,-1,1514503560,117.184559989,2017-12-28 23:26:00
14,8,294.44,1,1514546760,-117.184559989,2017-12-29 11:26:00
15,8,303.35,-1,1514564760,120.730662521,2017-12-29 16:26:00
16,9,301.05,1,1514586360,-120.730662521,2017-12-29 22:26:00
17,9,266.5,-1,1514665560,106.87500934,2017-12-30 20:26:00
18,10,261.0,1,1514679960,-106.87500934,2017-12-31 00:26:00
19,10,269.85,-1,1514687160,110.498932071,2017-12-31 02:26:00
20,11,263.79,1,1514715960,-110.498932071,2017-12-31 10:26:00
21,11,269.27,-1,1514723160,112.794448003,2017-12-31 12:26:00
22,12,281.53,1,1514769960,-112.794448003,2018-01-01 01:26:00
23,12,283.37,-1,1514784360,113.531640431,2018-01-01 05:26:00
24,13,277.77,1,1514813160,-113.531640431,2018-01-01 13:26:00
