,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,282.1,1,1514240760,-100.0,2017-12-25 22:26:00
1,1,295.11,-1,1514262360,104.611839773,2017-12-26 04:26:00
2,2,315.5,1,1514370360,-104.611839773,2017-12-27 10:26:00
3,2,316.02,-1,1514420760,104.784258653,2017-12-28 00:26:00
4,3,286.5,1,1514442360,-104.784258653,2017-12-28 06:26:00
5,3,299.42,-1,1514456760,109.509608119,2017-12-28 10:26:00
6,4,294.44,1,1514546760,-109.509608119,2017-12-29 11:26:00
7,4,303.35,-1,1514564760,112.823460205,2017-12-29 16:26:00
8,5,301.05,1,1514586360,-112.823460205,2017-12-29 22:26:00
9,5,273.72,-1,1514690760,102.581091272,2017-12-31 03:26:00
10,6,281.53,1,1514769960,-102.581091272,2018-01-01 01:26:00
11,6,291.5,-1,1514791560,106.213860355,2018-01-01 07:26:00
