,ID,PRICE,SIGN,TIMESTAMP,CASH,DATE
0,1,0.838,1,1514211960,-100.0,2017-12-25 14:26:00
1,1,0.8999,-1,1514327160,107.386634845,2017-12-26 22:26:00
2,2,1.0,1,1514433360,-107.386634845,2017-12-28 03:56:00
3,2,1.02497,-1,1514467560,110.068079117,2017-12-28 13:26:00
4,3,1.7599,1,1514629560,-110.068079117,2017-12-30 10:26:00
5,3,1.84501,-1,1514647560,115.391048725,2017-12-30 15:26:00
6,4,1.675,1,1514663760,-115.391048725,2017-12-30 19:56:00
7,4,1.62,-1,1514703360,111.602088916,2017-12-31 06:56:00
8,5,1.5805,1,1514717760,-111.602088916,2017-12-31 10:56:00
9,5,1.68999,-1,1514723160,119.333384529,2017-12-31 12:26:00
10,6,1.605,1,1514814960,-119.333384529,2018-01-01 13:56:00
11,6,1.63477,-1,1514822160,121.546814346,2018-01-01 15:56:00
