,CCY,PNL,STEP
0,XZECZEUR,-7.36679037779,1800.0
1,XZECZEUR,6.23050323384,3600.0
2,XZECZEUR,-2.20343779547,7200.0
3,XLTCZEUR,-13.0829688973,1800.0
4,XLTCZEUR,-5.32645618472,3600.0
5,XLTCZEUR,-1.29892817279,7200.0
6,XXMRZEUR,-1.33347987296,1800.0
7,XXMRZEUR,-10.2885783044,3600.0
8,XXMRZEUR,-2.52934570976,7200.0
9,XXBTZEUR,-0.187956721056,1800.0
10,XXBTZEUR,-8.87660562324,3600.0
11,XXBTZEUR,-1.53363016718,7200.0
12,XETHZEUR,-10.5118850627,1800.0
13,XETHZEUR,-2.066665985,3600.0
14,XETHZEUR,8.96425624989,7200.0
15,XXRPZEUR,-10.970760123,1800.0
16,XXRPZEUR,10.7773962175,3600.0
17,XXRPZEUR,2.13110438162,7200.0
18,DASHEUR,-11.7330538404,1800.0
19,DASHEUR,-3.96803889026,3600.0
20,DASHEUR,1.94951320574,7200.0
21,XREPZEUR,-2.92689432491,1800.0
22,XREPZEUR,-5.19959312643,3600.0
23,XREPZEUR,-1.35072050612,7200.0
24,BCHEUR,-15.6257377454,1800.0
25,BCHEUR,-19.0177682373,3600.0
26,BCHEUR,-1.7652768283,7200.0
27,XETCZEUR,-20.1844559856,1800.0
28,XETCZEUR,-13.1500915487,3600.0
29,XETCZEUR,1.16050682587,7200.0
