,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
3,2407.3,GREEN,2414.2,2400.5,2407.275,2414.0,1514103120
33,2481.75,GREEN,2490.0,2407.2875,2407.2875,2479.0,1514104920
63,2460.0,GREEN,2460.0,2444.51875,2444.51875,2460.0,1514106720
93,2479.25,GREEN,2480.7,2452.259375,2452.259375,2477.8,1514108520
123,2298.925,RED,2465.7546875,2279.7,2465.7546875,2308.0,1514110320
153,2315.7,RED,2382.33984375,2315.7,2382.33984375,2315.7,1514112120
183,2249.825,RED,2349.01992187,2237.1,2349.01992187,2237.1,1514113920
213,2190.0,RED,2299.42246094,2190.0,2299.42246094,2190.0,1514115720
243,2226.1,RED,2244.71123047,2220.2,2244.71123047,2232.0,1514117520
273,2125.375,RED,2235.40561523,2125.0,2235.40561523,2125.0,1514119320
303,2303.225,GREEN,2316.6,2180.39030762,2180.39030762,2297.7,1514121120
333,2275.0,GREEN,2275.0,2241.80765381,2241.80765381,2275.0,1514122920
363,2335.9,GREEN,2342.8,2258.4038269,2258.4038269,2342.8,1514124720
393,2378.0,GREEN,2378.0,2297.15191345,2297.15191345,2378.0,1514126520
423,2332.425,RED,2339.9,2329.8,2337.57595673,2330.0,1514128320
453,2262.55,RED,2335.00047836,2255.1,2335.00047836,2270.0,1514130120
483,2317.1,GREEN,2317.1,2298.77523918,2298.77523918,2317.1,1514131920
513,2339.925,GREEN,2340.0,2307.93761959,2307.93761959,2339.9,1514133720
543,2308.0,RED,2323.9313098,2308.0,2323.9313098,2308.0,1514135520
573,2252.3,RED,2315.9656549,2252.3,2315.9656549,2252.3,1514137320
603,2216.05,RED,2284.13282745,2210.8,2284.13282745,2221.3,1514139120
633,2220.5,RED,2250.09141372,2217.9,2250.09141372,2217.9,1514140920
663,2197.5,RED,2235.29570686,2185.0,2235.29570686,2205.0,1514142720
693,2232.975,GREEN,2239.9,2216.39785343,2216.39785343,2232.2,1514144520
723,2271.0,GREEN,2275.4,2224.68642672,2224.68642672,2266.6,1514146320
753,2280.35,GREEN,2281.4,2247.84321336,2247.84321336,2280.0,1514148120
783,2295.725,GREEN,2296.2,2264.09660668,2264.09660668,2295.8,1514149920
813,2290.0,GREEN,2290.0,2279.91080334,2279.91080334,2290.0,1514151720
843,2254.0,RED,2284.95540167,2254.0,2284.95540167,2254.0,1514153520
873,2287.4,GREEN,2287.4,2269.47770083,2269.47770083,2287.4,1514155320
903,2413.6,GREEN,2413.6,2278.43885042,2278.43885042,2413.6,1514157120
933,2345.25,RED,2350.0,2341.1,2346.01942521,2348.8,1514158920
963,2434.1,GREEN,2434.1,2345.6347126,2345.6347126,2434.1,1514160720
993,2435.8,GREEN,2435.8,2389.8673563,2389.8673563,2435.8,1514162520
1023,2352.0,RED,2412.83367815,2352.0,2412.83367815,2352.0,1514164320
1053,2350.0,RED,2382.41683908,2350.0,2382.41683908,2350.0,1514166120
1083,2376.65,GREEN,2376.7,2366.20841954,2366.20841954,2376.6,1514167920
1113,2296.95,RED,2371.42920977,2285.0,2371.42920977,2285.0,1514169720
1143,2321.55,RED,2334.18960488,2320.0,2334.18960488,2322.1,1514171520
1173,2339.5,GREEN,2348.6,2327.86980244,2327.86980244,2330.4,1514173320
1203,2291.5,RED,2333.68490122,2291.5,2333.68490122,2291.5,1514175120
1233,2370.0,GREEN,2370.0,2312.59245061,2312.59245061,2370.0,1514176920
1263,2371.7,GREEN,2371.7,2341.29622531,2341.29622531,2371.7,1514178720
1293,2380.4,GREEN,2380.4,2356.49811265,2356.49811265,2380.4,1514180520
1323,2387.9,GREEN,2399.7,2368.44905633,2368.44905633,2399.7,1514182320
1353,2347.9,RED,2378.17452816,2347.9,2378.17452816,2347.9,1514184120
1383,2359.05,RED,2363.03726408,2359.0,2363.03726408,2359.0,1514185920
1413,2370.75,GREEN,2379.4,2361.04363204,2361.04363204,2364.3,1514187720
1443,2350.2,RED,2365.89681602,2350.2,2365.89681602,2350.2,1514189520
1473,2386.9,GREEN,2387.7,2358.04840801,2358.04840801,2386.7,1514191320
1503,2424.9,GREEN,2424.9,2372.47420401,2372.47420401,2424.9,1514193120
1533,2380.275,RED,2398.687102,2380.1,2398.687102,2380.4,1514194920
1563,2407.2,GREEN,2410.0,2389.481051,2389.481051,2410.0,1514196720
1593,2398.75,GREEN,2414.3,2390.1,2398.3405255,2390.6,1514198520
1623,2413.3,GREEN,2419.9,2398.54526275,2398.54526275,2406.7,1514200320
1653,2406.275,GREEN,2410.0,2400.1,2405.92263138,2410.0,1514202120
1683,2400.0,RED,2406.09881569,2400.0,2406.09881569,2400.0,1514203920
1713,2439.7,GREEN,2439.7,2403.04940784,2403.04940784,2439.7,1514205720
1743,2429.75,GREEN,2429.9,2421.37470392,2421.37470392,2429.7,1514207520
1773,2400.0,RED,2425.56235196,2400.0,2425.56235196,2400.0,1514209320
1803,2330.425,RED,2412.78117598,2317.9,2412.78117598,2340.0,1514211120
1833,2350.25,RED,2371.60308799,2350.1,2371.60308799,2350.4,1514212920
1863,2324.5,RED,2360.926544,2315.0,2360.926544,2329.5,1514214720
1893,2337.6,RED,2342.713272,2337.6,2342.713272,2337.6,1514216520
1923,2350.0,GREEN,2350.0,2340.156636,2340.156636,2350.0,1514218320
1953,2352.1,GREEN,2352.1,2345.078318,2345.078318,2352.1,1514220120
1983,2362.6,GREEN,2362.6,2348.589159,2348.589159,2362.6,1514221920
2013,2311.0,RED,2355.5945795,2311.0,2355.5945795,2311.0,1514223720
2043,2348.75,GREEN,2349.0,2333.29728975,2333.29728975,2349.0,1514225520
2073,2362.35,GREEN,2369.6,2341.02364487,2341.02364487,2369.6,1514227320
2103,2357.35,GREEN,2365.0,2350.6,2351.68682244,2350.6,1514229120
2133,2374.6,GREEN,2374.9,2354.51841122,2354.51841122,2374.3,1514230920
2163,2353.1,RED,2364.55920561,2353.1,2364.55920561,2353.1,1514232720
2193,2342.7,RED,2358.8296028,2340.4,2358.8296028,2344.9,1514234520
2223,2307.25,RED,2350.7648014,2305.3,2350.7648014,2309.0,1514236320
2253,2325.95,RED,2329.0074007,2325.9,2329.0074007,2325.9,1514238120
2283,2321.95,RED,2327.47870035,2320.1,2327.47870035,2323.8,1514239920
2313,2303.0,RED,2324.71435018,2300.1,2324.71435018,2305.9,1514241720
2343,2321.5,GREEN,2323.0,2313.85717509,2313.85717509,2323.0,1514243520
2373,2340.0,GREEN,2340.0,2317.67858754,2317.67858754,2340.0,1514245320
2403,2349.6,GREEN,2357.3,2328.83929377,2328.83929377,2357.3,1514247120
2433,2339.55,GREEN,2353.6,2325.5,2339.21964689,2325.5,1514248920
2463,2305.1,RED,2339.38482344,2305.1,2339.38482344,2305.1,1514250720
2493,2303.0,RED,2322.24241172,2303.0,2322.24241172,2303.0,1514252520
2523,2301.15,RED,2312.62120586,2301.0,2312.62120586,2301.0,1514254320
2553,2311.2,GREEN,2311.2,2306.88560293,2306.88560293,2311.2,1514256120
2583,2299.2,RED,2309.04280147,2299.0,2309.04280147,2299.4,1514257920
2613,2320.0,GREEN,2320.0,2304.12140073,2304.12140073,2320.0,1514259720
2643,2378.0,GREEN,2378.0,2312.06070037,2312.06070037,2378.0,1514261520
2673,2369.925,GREEN,2370.0,2345.03035018,2345.03035018,2370.0,1514263320
2703,2384.4,GREEN,2389.7,2357.47767509,2357.47767509,2380.0,1514265120
2733,2393.5,GREEN,2399.3,2370.93883755,2370.93883755,2387.7,1514266920
2763,2385.0,GREEN,2385.0,2382.21941877,2382.21941877,2385.0,1514268720
2793,2399.8,GREEN,2399.8,2383.60970939,2383.60970939,2399.8,1514270520
2823,2379.1,RED,2391.70485469,2379.1,2391.70485469,2379.1,1514272320
2853,2395.25,GREEN,2395.3,2385.40242735,2385.40242735,2395.3,1514274120
2880,2389.6,RED,2390.32621367,2389.6,2390.32621367,2389.6,1514281320
2910,2394.8,GREEN,2394.8,2389.96310684,2389.96310684,2394.8,1514283120
2940,2384.675,RED,2392.38155342,2383.0,2392.38155342,2383.0,1514284920
2970,2378.8,RED,2388.52827671,2378.8,2388.52827671,2378.8,1514286720
3000,2364.5,RED,2383.66413835,2360.0,2383.66413835,2369.0,1514288520
3030,2353.025,RED,2374.08206918,2352.1,2374.08206918,2352.2,1514290320
3060,2374.5,GREEN,2377.9,2363.55353459,2363.55353459,2373.0,1514292120
3090,2377.3,GREEN,2377.3,2369.02676729,2369.02676729,2377.3,1514293920
3120,2387.0,GREEN,2387.6,2373.16338365,2373.16338365,2387.0,1514295720
3150,2363.125,RED,2380.08169182,2358.9,2380.08169182,2366.6,1514297520
3180,2365.6,RED,2371.60334591,2365.0,2371.60334591,2365.0,1514299320
3210,2356.55,RED,2368.60167296,2352.1,2368.60167296,2352.1,1514301120
3240,2348.8,RED,2362.57583648,2344.6,2362.57583648,2353.0,1514302920
3270,2354.5,RED,2355.68791824,2354.5,2355.68791824,2354.5,1514304720
3300,2369.85,GREEN,2370.0,2355.09395912,2355.09395912,2369.9,1514306520
3330,2386.5,GREEN,2386.5,2362.47197956,2362.47197956,2386.5,1514308320
3360,2385.9,GREEN,2386.0,2374.48598978,2374.48598978,2385.8,1514310120
3390,2357.25,RED,2380.19299489,2357.1,2380.19299489,2357.4,1514311920
3420,2362.3,RED,2368.72149744,2362.3,2368.72149744,2362.3,1514313720
3450,2373.9,GREEN,2373.9,2365.51074872,2365.51074872,2373.9,1514315520
3480,2351.2,RED,2369.70537436,2351.1,2369.70537436,2351.1,1514317320
3510,2371.8,GREEN,2371.8,2360.45268718,2360.45268718,2371.8,1514319120
3540,2338.8,RED,2366.12634359,2332.0,2366.12634359,2345.6,1514320920
3570,2342.0,RED,2352.4631718,2342.0,2352.4631718,2342.0,1514322720
3600,2342.0,RED,2347.2315859,2340.0,2347.2315859,2344.0,1514324520
3630,2349.9,GREEN,2349.9,2344.61579295,2344.61579295,2349.9,1514326320
3660,2333.2,RED,2347.25789647,2333.2,2347.25789647,2333.2,1514328120
3690,2373.8,GREEN,2375.4,2340.22894824,2340.22894824,2372.2,1514329920
3720,2420.825,GREEN,2440.0,2357.01447412,2357.01447412,2401.9,1514331720
3750,2399.75,GREEN,2399.9,2388.91973706,2388.91973706,2399.9,1514333520
3780,2380.1,RED,2394.33486853,2380.1,2394.33486853,2380.1,1514335320
3810,2401.7,GREEN,2401.7,2387.21743426,2387.21743426,2401.7,1514337120
3840,2405.15,GREEN,2407.0,2394.45871713,2394.45871713,2407.0,1514338920
3870,2401.95,GREEN,2402.3,2399.80435857,2399.80435857,2402.0,1514340720
3900,2389.95,RED,2400.87717928,2389.8,2400.87717928,2390.0,1514342520
3930,2365.25,RED,2395.41358964,2365.1,2395.41358964,2365.3,1514344320
3960,2364.2,RED,2380.33179482,2364.2,2380.33179482,2364.2,1514346120
3990,2384.1,GREEN,2384.1,2372.26589741,2372.26589741,2384.1,1514347920
4020,2403.8,GREEN,2403.8,2378.18294871,2378.18294871,2403.8,1514349720
4050,2362.7,RED,2390.99147435,2362.7,2390.99147435,2362.7,1514351520
4080,2387.95,GREEN,2397.2,2376.84573718,2376.84573718,2397.2,1514353320
4110,2370.0,RED,2382.39786859,2370.0,2382.39786859,2370.0,1514355120
4140,2379.5,GREEN,2379.5,2376.19893429,2376.19893429,2379.5,1514356920
4170,2382.0,GREEN,2382.0,2377.84946715,2377.84946715,2382.0,1514358720
4200,2369.375,RED,2379.92473357,2355.0,2379.92473357,2379.7,1514360520
4230,2368.75,RED,2377.7,2359.8,2374.64986679,2377.7,1514362320
4260,2368.5,RED,2371.69993339,2365.0,2371.69993339,2370.0,1514364120
4290,2368.7,RED,2370.0999667,2368.7,2370.0999667,2368.7,1514365920
4320,2330.975,RED,2369.39998335,2329.9,2369.39998335,2332.0,1514367720
4350,2348.3,RED,2350.18749167,2348.3,2350.18749167,2348.3,1514369520
4380,2314.15,RED,2349.24374584,2310.2,2349.24374584,2318.1,1514371320
4410,2340.1,GREEN,2340.2,2331.69687292,2331.69687292,2340.0,1514373120
4440,2349.625,GREEN,2350.0,2335.89843646,2335.89843646,2350.0,1514374920
4470,2336.2,RED,2342.76171823,2336.2,2342.76171823,2336.2,1514376720
4500,2344.55,GREEN,2347.0,2339.48085911,2339.48085911,2344.4,1514378520
4530,2330.275,RED,2342.01542956,2325.2,2342.01542956,2325.2,1514380320
4560,2329.35,RED,2336.14521478,2322.8,2336.14521478,2322.8,1514382120
4590,2328.5,RED,2332.74760739,2327.0,2332.74760739,2330.0,1514383920
4620,2327.25,RED,2330.62380369,2326.0,2330.62380369,2326.4,1514385720
4650,2282.35,RED,2328.93690185,2270.6,2328.93690185,2280.0,1514387520
4680,2292.25,RED,2305.64345092,2290.0,2305.64345092,2290.0,1514389320
4710,2296.675,RED,2307.5,2289.6,2298.94672546,2300.0,1514391120
4740,2217.0,RED,2297.81086273,2210.0,2297.81086273,2210.0,1514392920
4770,2192.85,RED,2257.40543137,2190.5,2257.40543137,2190.5,1514394720
4800,2209.85,RED,2225.12771568,2209.4,2225.12771568,2210.0,1514396520
4830,2268.7,GREEN,2273.5,2217.48885784,2217.48885784,2263.9,1514398320
4860,2235.4,RED,2248.0,2222.8,2243.09442892,2248.0,1514400120
4890,2259.0,GREEN,2259.0,2239.24721446,2239.24721446,2259.0,1514401920
4920,2252.95,GREEN,2260.9,2249.12360723,2249.12360723,2250.0,1514403720
4950,2215.0,RED,2251.03680362,2201.0,2251.03680362,2220.0,1514405520
4980,2187.725,RED,2233.01840181,2171.0,2233.01840181,2198.9,1514407320
5010,2225.7,GREEN,2235.1,2210.3717009,2210.3717009,2226.9,1514409120
5040,2260.1,GREEN,2260.1,2218.03585045,2218.03585045,2260.1,1514410920
5070,2227.1,RED,2239.06792523,2225.8,2239.06792523,2228.4,1514412720
5100,2283.8,GREEN,2283.8,2233.08396261,2233.08396261,2283.8,1514414520
5130,2253.275,RED,2258.44198131,2250.3,2258.44198131,2254.0,1514416320
5160,2298.425,GREEN,2299.8,2255.85849065,2255.85849065,2299.8,1514418120
5190,2294.0,GREEN,2294.0,2277.14174533,2277.14174533,2294.0,1514419920
5220,2249.0,RED,2285.57087266,2249.0,2285.57087266,2249.0,1514421720
5250,2262.0,RED,2267.28543633,2262.0,2267.28543633,2262.0,1514423520
