,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
33,988.452,WHITE,988.452,988.452,988.452,988.452,1514104920
93,989.332,GREEN,992.005,986.659,988.452,986.659,1514108520
153,927.74725,RED,988.892,926.99,988.892,926.99,1514112120
213,890.0495,RED,958.319625,886.139,958.319625,886.139,1514115720
273,848.35225,RED,924.1845625,847.244,924.1845625,847.244,1514119320
333,920.87975,GREEN,921.188,886.26840625,886.26840625,921.119,1514122920
393,919.9235,GREEN,919.937,903.574078125,903.574078125,919.937,1514126520
453,914.089,GREEN,915.0,911.748789063,911.748789063,915.0,1514130120
513,932.385,GREEN,932.385,912.918894531,912.918894531,932.385,1514133720
573,921.129,RED,922.651947266,920.298,922.651947266,920.298,1514137320
633,905.797,RED,921.890473633,905.013,921.890473633,905.013,1514140920
693,893.234,RED,913.843736816,893.088,913.843736816,893.088,1514144520
753,929.0,GREEN,929.0,903.538868408,903.538868408,929.0,1514148120
813,922.765,GREEN,923.032,916.269434204,916.269434204,923.032,1514151720
873,927.887,GREEN,927.887,919.517217102,919.517217102,927.887,1514155320
933,952.946,GREEN,953.126,923.702108551,923.702108551,952.766,1514158920
993,969.96,GREEN,969.96,938.324054276,938.324054276,969.96,1514162520
1053,949.638,RED,954.142027138,949.638,954.142027138,949.638,1514166120
1113,945.26,RED,951.890013569,945.26,951.890013569,945.26,1514169720
1173,958.051,GREEN,958.051,948.575006784,948.575006784,958.051,1514173320
1233,961.11325,GREEN,964.973,953.313003392,953.313003392,957.256,1514176920
1293,956.041,RED,957.213126696,956.041,957.213126696,956.041,1514180520
1353,952.851,RED,956.627063348,952.851,956.627063348,952.851,1514184120
1413,960.0,GREEN,960.0,954.739031674,954.739031674,960.0,1514187720
1473,980.0,GREEN,980.0,957.369515837,957.369515837,980.0,1514191320
1533,966.256,RED,968.684757919,966.256,968.684757919,966.256,1514194920
1593,982.25,GREEN,982.5,967.470378959,967.470378959,982.0,1514198520
1653,989.062,GREEN,989.062,974.86018948,974.86018948,989.062,1514202120
1713,1000.12,GREEN,1000.12,981.96109474,981.96109474,1000.12,1514205720
1773,989.057,RED,991.04054737,989.057,991.04054737,989.057,1514209320
1833,962.5025,RED,990.048773685,962.002,990.048773685,962.003,1514212920
1892,953.07,RED,976.275636842,953.07,976.275636842,953.07,1514216520
1952,967.98,GREEN,967.98,964.672818421,964.672818421,967.98,1514220120
2012,954.0,RED,966.326409211,954.0,966.326409211,954.0,1514223720
2073,961.995,GREEN,961.995,960.163204605,960.163204605,961.995,1514227320
2133,967.622,GREEN,967.622,961.079102303,961.079102303,967.622,1514230920
2192,955.34,RED,964.350551151,955.34,964.350551151,955.34,1514234520
2252,936.393,RED,959.845275576,936.393,959.845275576,936.393,1514238120
2312,930.96725,RED,948.119137788,930.649,948.119137788,931.1,1514241720
2372,946.285,GREEN,948.57,939.543193894,939.543193894,944.0,1514245320
2432,949.98,GREEN,949.98,942.914096947,942.914096947,949.98,1514248920
2492,940.0,RED,946.447048473,940.0,946.447048473,940.0,1514252520
2552,945.887,GREEN,945.887,943.223524237,943.223524237,945.887,1514256120
2612,959.99,GREEN,960.0,944.555262118,944.555262118,960.0,1514259720
2672,982.264,GREEN,982.264,952.272631059,952.272631059,982.264,1514263320
2732,976.586,GREEN,976.586,967.26831553,967.26831553,976.586,1514266920
2792,980.9285,GREEN,981.877,971.927157765,971.927157765,981.877,1514270520
2852,980.463,GREEN,980.463,976.427828882,976.427828882,980.463,1514274120
2879,976.516,RED,978.445414441,976.516,978.445414441,976.516,1514281320
2939,973.249,RED,977.480707221,973.249,977.480707221,973.249,1514284920
2999,965.921,RED,975.36485361,965.921,975.36485361,965.921,1514288520
3059,971.9135,GREEN,972.44,970.642926805,970.642926805,972.44,1514292120
3119,970.0,RED,971.278213403,970.0,971.278213403,970.0,1514295720
3179,981.31,GREEN,981.31,970.639106701,970.639106701,981.31,1514299320
3239,964.865,RED,975.974553351,964.865,975.974553351,964.865,1514302920
3299,971.2345,GREEN,971.505,970.419776675,970.419776675,970.964,1514306520
3359,978.802,GREEN,978.802,970.827138338,970.827138338,978.802,1514310120
3419,972.048,RED,974.814569169,972.048,974.814569169,972.048,1514313720
3479,970.06,RED,973.431284584,970.06,973.431284584,970.06,1514317320
3539,972.4405,GREEN,974.76,970.121,971.745642292,970.121,1514320920
3599,967.449,RED,972.093071146,967.449,972.093071146,967.449,1514324520
3659,966.0,RED,969.771035573,966.0,969.771035573,966.0,1514328120
3719,960.557,RED,967.885517787,960.557,967.885517787,960.557,1514331720
3779,982.5245,GREEN,984.868,964.221258893,964.221258893,980.181,1514335320
3839,978.0,GREEN,978.0,973.372879447,973.372879447,978.0,1514338920
3899,992.0,GREEN,992.0,975.686439723,975.686439723,992.0,1514342520
3959,991.925,GREEN,992.0,983.843219862,983.843219862,991.899,1514346120
4019,997.027,GREEN,997.027,987.884109931,987.884109931,997.027,1514349720
4079,991.014,RED,992.455554965,991.014,992.455554965,991.014,1514353320
4139,998.886,GREEN,998.886,991.734777483,991.734777483,998.886,1514356920
4199,990.02,RED,995.310388741,990.0,995.310388741,990.0,1514360520
4259,995.603,GREEN,995.603,992.665194371,992.665194371,995.603,1514364120
4319,978.70375,RED,994.134097185,978.7,994.134097185,978.7,1514367720
4379,985.05,RED,986.418923593,985.0,986.418923593,985.0,1514371320
4439,983.25,RED,985.734461796,981.0,985.734461796,985.5,1514374920
4499,1003.999,GREEN,1003.999,984.492230898,984.492230898,1003.999,1514378520
4559,999.296,GREEN,999.37,994.245615449,994.245615449,999.222,1514382120
4619,981.5,RED,996.770807725,980.0,996.770807725,982.5,1514385720
4679,985.01,RED,989.135403862,985.0,989.135403862,985.0,1514389320
4739,984.0,RED,987.072701931,984.0,987.072701931,984.0,1514392920
4799,960.0,RED,985.536350966,960.0,985.536350966,960.0,1514396520
4859,970.0,RED,972.768175483,970.0,972.768175483,970.0,1514400120
4919,961.6125,RED,971.384087741,960.055,971.384087741,960.055,1514403720
4979,953.502,RED,966.498293871,950.015,966.498293871,954.999,1514407320
5039,960.006,GREEN,960.006,960.000146935,960.000146935,960.006,1514410920
5099,959.484,RED,960.003073468,959.484,960.003073468,959.484,1514414520
5159,959.04,RED,959.743536734,959.04,959.743536734,959.04,1514418120
5219,945.041,RED,959.391768367,945.041,959.391768367,945.041,1514421720
5279,947.0,RED,952.216384183,947.0,952.216384183,947.0,1514425320
5339,945.0,RED,949.608192092,945.0,949.608192092,945.0,1514428920
5397,906.4,RED,947.304096046,905.0,947.304096046,905.0,1514432520
5456,918.691,RED,926.852048023,918.691,926.852048023,918.691,1514436120
5519,885.776,RED,922.771524011,883.367,922.771524011,887.114,1514439720
5579,886.494,RED,904.273762006,886.494,904.273762006,886.494,1514443320
