,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
34,24.703,WHITE,24.703,24.703,24.703,24.703,1514104980
94,24.9335,GREEN,25.036,24.703,24.703,25.036,1514108580
154,23.2285,RED,24.81825,23.162,24.81825,23.162,1514112180
214,21.994,RED,24.023375,21.994,24.023375,21.994,1514115780
274,21.296,RED,23.0086875,21.1,23.0086875,21.492,1514119380
334,23.081,GREEN,23.081,22.15234375,22.15234375,23.081,1514122980
394,23.578,GREEN,23.578,22.616671875,22.616671875,23.578,1514126580
454,22.91,RED,23.0973359375,22.82,23.0973359375,22.82,1514130180
513,23.499,GREEN,23.499,23.0036679688,23.0036679688,23.499,1514133780
573,23.376,GREEN,23.376,23.2513339844,23.2513339844,23.376,1514137380
633,23.1175,RED,23.3136669922,23.0,23.3136669922,23.0,1514140980
693,22.99225,RED,23.2155834961,22.982,23.2155834961,22.987,1514144580
754,23.502,GREEN,23.502,23.103916748,23.103916748,23.502,1514148180
814,23.5995,GREEN,23.728,23.302958374,23.302958374,23.728,1514151780
874,23.254,RED,23.451229187,23.254,23.451229187,23.254,1514155380
934,24.462,GREEN,24.462,23.3526145935,23.3526145935,24.462,1514158980
994,24.67,GREEN,24.67,23.9073072968,23.9073072968,24.67,1514162580
1054,24.57,GREEN,24.57,24.2886536484,24.2886536484,24.57,1514166180
1114,24.078,RED,24.4293268242,24.078,24.4293268242,24.078,1514169780
1174,24.214,RED,24.2536634121,24.214,24.2536634121,24.214,1514173380
1234,24.499,GREEN,24.499,24.233831706,24.233831706,24.499,1514176980
1294,24.66,GREEN,24.66,24.366415853,24.366415853,24.66,1514180580
1354,24.61,GREEN,24.61,24.5132079265,24.5132079265,24.61,1514184180
1414,24.362,RED,24.5616039633,24.362,24.5616039633,24.362,1514187780
1474,24.6445,GREEN,24.647,24.4618019816,24.4618019816,24.642,1514191380
1534,25.004,GREEN,25.004,24.5531509908,24.5531509908,25.004,1514194980
1594,24.726,RED,24.7785754954,24.726,24.7785754954,24.726,1514198580
1654,24.8525,GREEN,24.882,24.7522877477,24.7522877477,24.882,1514202180
