,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
33,576.55,WHITE,577.1,576.0,576.55,577.1,1514104920
153,549.25,RED,576.55,547.0,576.55,550.0,1514112120
273,509.6075,RED,562.9,508.01,562.9,508.07,1514119320
393,547.6975,GREEN,547.7,536.25375,536.25375,547.7,1514126520
513,555.065,GREEN,555.88,541.975625,541.975625,554.69,1514133720
633,537.645,RED,548.5203125,537.45,548.5203125,537.71,1514140920
753,547.635,GREEN,547.68,543.08265625,543.08265625,547.68,1514148120
873,551.145,GREEN,553.29,545.358828125,545.358828125,553.29,1514155320
993,592.0,GREEN,592.0,548.251914062,548.251914062,592.0,1514162520
1113,594.1125,GREEN,594.34,570.125957031,570.125957031,594.34,1514169720
1233,604.72,GREEN,604.74,582.119228516,582.119228516,604.7,1514176920
1353,596.165,GREEN,598.0,593.419614258,593.419614258,594.33,1514184120
1473,608.48,GREEN,610.05,594.792307129,594.792307129,607.99,1514191320
1593,606.51,GREEN,607.0,601.636153564,601.636153564,607.0,1514198520
1713,622.94,GREEN,623.99,604.073076782,604.073076782,621.91,1514205720
1833,600.06,RED,613.506538391,599.61,613.506538391,600.21,1514212920
1953,610.955,GREEN,611.95,606.783269196,606.783269196,611.95,1514220120
2073,613.54,GREEN,614.05,608.869134598,608.869134598,613.06,1514227320
2193,618.8875,GREEN,619.78,611.204567299,611.204567299,619.77,1514234520
2313,601.47,RED,615.046033649,601.0,615.046033649,601.94,1514241720
2433,610.0875,GREEN,610.48,608.258016825,608.258016825,609.99,1514248920
2553,619.87,GREEN,619.89,609.172758412,609.172758412,619.89,1514256120
2673,617.11,GREEN,617.11,614.521379206,614.521379206,617.11,1514263320
2793,622.565,GREEN,623.04,615.815689603,615.815689603,622.09,1514270520
2939,624.865,GREEN,626.0,619.190344802,619.190344802,624.23,1514284920
3059,619.4,RED,622.027672401,618.9,622.027672401,619.9,1514292120
3179,620.49,RED,621.0,620.0,620.7138362,620.0,1514299320
3299,622.8575,GREEN,623.0,620.6019181,620.6019181,622.99,1514306520
3419,622.2425,GREEN,622.97,621.72970905,621.72970905,622.0,1514313720
3539,623.4125,GREEN,623.83,621.986104525,621.986104525,623.83,1514320920
3659,615.8375,RED,622.699302263,615.63,622.699302263,615.72,1514328120
3779,623.4075,GREEN,624.02,619.268401131,619.268401131,622.82,1514335320
3899,624.0,GREEN,624.0,621.337950566,621.337950566,624.0,1514342520
4019,626.69,GREEN,626.73,622.668975283,622.668975283,626.67,1514349720
4139,627.495,GREEN,628.96,624.679487641,624.679487641,627.32,1514356920
4259,622.945,RED,626.087243821,622.8,626.087243821,622.99,1514364120
4379,615.985,RED,624.51612191,615.97,624.51612191,615.97,1514371320
4499,624.9,GREEN,624.98,620.250560955,620.250560955,624.97,1514378520
4619,623.3925,GREEN,625.0,621.0,622.575280478,622.61,1514385720
4739,607.61,RED,622.983890239,606.66,622.983890239,607.58,1514392920
4859,615.7175,GREEN,616.97,615.14,615.296945119,615.14,1514400120
4979,609.7475,RED,615.50722256,609.0,615.50722256,610.11,1514407320
5099,616.8375,GREEN,617.66,612.62736128,612.62736128,617.66,1514414520
5219,617.6725,GREEN,618.54,614.73243064,614.73243064,618.54,1514421720
5339,610.34,RED,616.20246532,610.34,616.20246532,610.34,1514428920
5459,612.59,RED,613.27123266,612.28,613.27123266,612.9,1514436120
5579,595.9275,RED,612.93061633,595.86,612.93061633,595.86,1514443320
