,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
3,227.23,WHITE,227.24,227.22,227.23,227.24,1514103120
33,235.545,GREEN,235.86,227.23,227.23,235.23,1514104920
63,233.9125,GREEN,234.94,231.3875,231.3875,233.73,1514106720
93,232.29,RED,233.0,231.43,232.65,231.73,1514108520
123,219.92,RED,232.47,219.19,232.47,219.97,1514110320
153,223.2875,RED,226.195,221.03,226.195,224.99,1514112120
183,217.935,RED,224.74125,217.6,224.74125,217.6,1514113920
213,211.3225,RED,221.338125,210.0,221.338125,210.92,1514115720
243,211.575,RED,216.3303125,211.44,216.3303125,211.71,1514117520
273,202.535,RED,213.95265625,200.76,213.95265625,201.42,1514119320
303,218.825,GREEN,219.8,208.243828125,208.243828125,219.8,1514121120
333,217.52,GREEN,217.81,213.534414062,213.534414062,217.81,1514122920
363,221.7125,GREEN,222.43,215.527207031,215.527207031,221.0,1514124720
393,222.01,GREEN,222.02,218.619853516,218.619853516,222.02,1514126520
423,221.615,GREEN,223.0,220.314926758,220.314926758,220.46,1514128320
453,217.805,RED,220.964963379,217.8,220.964963379,217.81,1514130120
483,220.5,GREEN,220.5,219.384981689,219.384981689,220.5,1514131920
513,224.8575,GREEN,225.0,219.942490845,219.942490845,224.93,1514133720
543,222.45,GREEN,222.45,222.399995422,222.399995422,222.45,1514135520
573,217.2425,RED,222.424997711,217.06,222.424997711,217.38,1514137320
603,212.425,RED,219.833748856,211.0,219.833748856,213.85,1514139120
633,214.21,RED,216.129374428,214.02,216.129374428,214.02,1514140920
663,209.725,RED,215.169687214,209.38,215.169687214,209.38,1514142720
693,213.445,GREEN,213.58,212.447343607,212.447343607,213.31,1514144520
723,216.5,GREEN,216.5,212.946171803,212.946171803,216.5,1514146320
753,218.46,GREEN,218.46,214.723085902,214.723085902,218.46,1514148120
783,219.6225,GREEN,219.96,216.591542951,216.591542951,219.8,1514149920
813,219.54,GREEN,219.54,218.107021475,218.107021475,219.54,1514151720
843,216.07,RED,218.823510738,216.06,218.823510738,216.08,1514153520
873,219.0,GREEN,219.0,217.446755369,217.446755369,219.0,1514155320
903,225.71,GREEN,226.0,218.223377684,218.223377684,225.42,1514157120
933,224.9025,GREEN,226.0,221.966688842,221.966688842,223.88,1514158920
963,229.0,GREEN,229.0,223.434594421,223.434594421,229.0,1514160720
993,232.0,GREEN,232.0,226.217297211,226.217297211,232.0,1514162520
1023,227.0,RED,229.108648605,227.0,229.108648605,227.0,1514164320
1053,225.98,RED,228.054324303,225.75,228.054324303,225.75,1514166120
1083,229.0,GREEN,229.0,227.017162151,227.017162151,229.0,1514167920
1113,223.385,RED,228.008581076,222.23,228.008581076,222.23,1514169720
1143,224.94,RED,225.696790538,224.94,225.696790538,224.94,1514171520
1173,228.355,GREEN,228.98,225.318395269,225.318395269,227.73,1514173320
1203,223.24,RED,226.836697634,223.24,226.836697634,223.24,1514175120
1233,229.1,GREEN,229.1,225.038348817,225.038348817,229.1,1514176920
1263,232.59,GREEN,232.59,227.069174409,227.069174409,232.59,1514178720
1293,231.74,GREEN,231.74,229.829587204,229.829587204,231.74,1514180520
1323,233.7925,GREEN,234.1,230.784793602,230.784793602,233.58,1514182320
1353,231.25,RED,232.288646801,231.25,232.288646801,231.25,1514184120
1383,233.255,GREEN,233.27,231.769323401,231.769323401,233.27,1514185920
1413,231.54,RED,232.5121617,231.54,232.5121617,231.54,1514187720
1443,231.655,RED,232.02608085,231.29,232.02608085,232.0,1514189520
1473,232.96,GREEN,233.03,231.840540425,231.840540425,233.03,1514191320
1503,234.9825,GREEN,235.0,232.400270213,232.400270213,235.0,1514193120
1533,231.585,RED,233.691385106,231.57,233.691385106,231.57,1514194920
1563,233.54,GREEN,233.54,232.638192553,232.638192553,233.54,1514196720
1593,232.69,RED,233.38,232.0,233.089096277,233.38,1514198520
1623,231.73,RED,232.889548138,231.71,232.889548138,231.71,1514200320
1653,233.605,GREEN,233.81,232.309774069,232.309774069,233.81,1514202120
1683,233.2575,GREEN,234.0,232.957387035,232.957387035,233.03,1514203920
1713,236.9575,GREEN,238.98,233.107443517,233.107443517,236.2,1514205720
1743,236.95,GREEN,236.96,235.032471759,235.032471759,236.96,1514207520
1773,235.25,RED,235.991235879,235.0,235.991235879,235.0,1514209320
1803,227.03,RED,235.62061794,226.2,235.62061794,226.2,1514211120
1833,229.5,RED,231.32530897,229.49,231.32530897,229.49,1514212920
1863,225.55,RED,230.412654485,225.55,230.412654485,225.55,1514214720
1893,226.67,RED,227.981327242,225.58,227.981327242,227.76,1514216520
1923,228.17,GREEN,228.17,227.325663621,227.325663621,228.17,1514218320
1953,228.6775,GREEN,228.73,227.747831811,227.747831811,228.65,1514220120
1983,228.33,GREEN,228.33,228.212665905,228.212665905,228.33,1514221920
2013,225.55,RED,228.271332953,225.55,228.271332953,225.55,1514223720
2043,225.34,RED,226.910666476,225.3,226.910666476,225.38,1514225520
2073,227.31,GREEN,227.31,226.125333238,226.125333238,227.31,1514227320
2103,228.51,GREEN,228.67,226.717666619,226.717666619,228.67,1514229120
2133,228.04,GREEN,228.04,227.61383331,227.61383331,228.04,1514230920
2163,228.0,GREEN,228.2,227.8,227.826916655,227.8,1514232720
2193,227.5,RED,227.913458327,227.5,227.913458327,227.5,1514234520
2223,223.195,RED,227.706729164,222.98,227.706729164,223.4,1514236320
2253,222.6625,RED,225.450864582,222.17,225.450864582,222.17,1514238120
2283,224.47,GREEN,224.85,224.056682291,224.056682291,224.85,1514239920
2313,221.19,RED,224.263341145,220.99,224.263341145,221.29,1514241720
2343,224.175,GREEN,224.75,222.726670573,222.726670573,223.6,1514243520
2373,224.2,GREEN,224.2,223.450835286,223.450835286,224.2,1514245320
2403,223.6625,RED,224.83,223.25,223.825417643,223.31,1514247120
2433,226.09,GREEN,226.32,223.743958822,223.743958822,225.86,1514248920
2463,222.65,RED,224.916979411,222.65,224.916979411,222.65,1514250720
2493,222.58,RED,223.783489705,222.58,223.783489705,222.58,1514252520
2523,224.685,GREEN,224.72,223.181744853,223.181744853,224.72,1514254320
2553,223.8925,RED,224.19,223.15,223.933372426,224.19,1514256120
2583,224.95,GREEN,224.95,223.912936213,223.912936213,224.95,1514257920
2613,227.0,GREEN,227.0,224.431468107,224.431468107,227.0,1514259720
2643,231.0,GREEN,231.0,225.715734053,225.715734053,231.0,1514261520
2673,229.405,GREEN,229.8,228.357867027,228.357867027,229.01,1514263320
2703,228.815,RED,228.881433513,228.81,228.881433513,228.81,1514265120
