,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
33,60.488,WHITE,60.488,60.488,60.488,60.488,1514104920
93,60.76875,GREEN,61.46,60.488,60.488,60.515,1514108520
153,55.1345,RED,60.628375,55.003,60.628375,55.266,1514112120
268,52.702,RED,57.8814375,52.702,57.8814375,52.702,1514119320
328,55.382,GREEN,55.382,55.29171875,55.29171875,55.382,1514122920
387,56.63975,GREEN,56.675,55.336859375,55.336859375,56.675,1514126520
447,54.7,RED,55.9883046875,54.5,55.9883046875,54.9,1514130120
507,55.876,GREEN,55.876,55.3441523438,55.3441523438,55.876,1514133720
567,55.004,RED,55.6100761719,55.004,55.6100761719,55.004,1514137320
626,55.495,GREEN,55.495,55.3070380859,55.3070380859,55.495,1514140920
686,53.661,RED,55.401019043,53.661,55.401019043,53.661,1514144520
715,52.334,RED,54.5310095215,52.334,54.5310095215,52.334,1514115720
753,54.752,GREEN,54.752,53.4325047607,53.4325047607,54.752,1514148120
813,54.718,GREEN,55.105,54.0922523804,54.0922523804,55.105,1514151720
873,55.799,GREEN,55.8,54.4051261902,54.4051261902,55.8,1514155320
933,57.487,GREEN,57.487,55.1020630951,55.1020630951,57.487,1514158920
993,58.844,GREEN,58.844,56.2945315475,56.2945315475,58.844,1514162520
1053,57.437,RED,57.571,57.303,57.5692657738,57.571,1514166120
1113,57.071,RED,57.64,56.502,57.5031328869,56.502,1514169720
1173,56.814,RED,57.2870664434,56.814,57.2870664434,56.814,1514173320
1232,56.276,RED,57.0505332217,56.276,57.0505332217,56.276,1514176920
1291,57.26,GREEN,57.26,56.6632666109,56.6632666109,57.26,1514180520
1351,57.521,GREEN,57.521,56.9616333054,56.9616333054,57.521,1514184120
1411,58.34425,GREEN,58.576,57.2413166527,57.2413166527,58.573,1514187720
1470,58.382,GREEN,58.382,57.7927833264,57.7927833264,58.382,1514191320
1530,59.504,GREEN,59.504,58.0873916632,58.0873916632,59.504,1514194920
1590,59.427,GREEN,59.7,58.7956958316,58.7956958316,59.7,1514198520
1653,59.5,GREEN,59.5,59.1113479158,59.1113479158,59.5,1514202120
1713,60.25,GREEN,60.25,59.3056739579,59.3056739579,60.25,1514205720
1773,60.225,GREEN,60.449,59.7778369789,59.7778369789,60.449,1514209320
1833,58.4985,RED,60.0014184895,58.0,60.0014184895,58.0,1514212920
1893,57.915,RED,59.2499592447,57.915,59.2499592447,57.915,1514216520
1952,58.491,RED,58.5824796224,58.491,58.5824796224,58.491,1514220120
2011,58.015,RED,58.5367398112,58.015,58.5367398112,58.015,1514223720
2071,57.778,RED,58.2758699056,57.778,58.2758699056,57.778,1514227320
2131,58.99,GREEN,58.99,58.0269349528,58.0269349528,58.99,1514230920
2193,59.79,GREEN,59.79,58.5084674764,58.5084674764,59.79,1514234520
2253,58.645,RED,59.1492337382,58.645,59.1492337382,58.645,1514238120
2313,58.503,RED,58.8971168691,58.503,58.8971168691,58.503,1514241720
2373,58.518,RED,58.7000584345,58.518,58.7000584345,58.518,1514245320
2433,59.99925,GREEN,60.0,58.6090292173,58.6090292173,60.0,1514248920
2493,61.4585,GREEN,61.517,59.3041396086,59.3041396086,61.517,1514252520
2553,66.7275,GREEN,66.771,60.3813198043,60.3813198043,66.686,1514256120
2613,66.378,GREEN,66.378,63.5544099022,63.5544099022,66.378,1514259720
2670,67.9995,GREEN,68.0,64.9662049511,64.9662049511,67.999,1514263320
2730,68.386,GREEN,68.5,66.4828524755,66.4828524755,68.5,1514266920
2789,69.5,GREEN,69.5,67.4344262378,67.4344262378,69.5,1514270520
2848,67.332,RED,68.4672131189,67.164,68.4672131189,67.5,1514274120
2873,66.9765,RED,67.8996065594,66.524,67.8996065594,67.429,1514281320
2933,68.008,GREEN,68.01,67.4380532797,67.4380532797,68.01,1514284920
2993,69.046,GREEN,69.046,67.7230266399,67.7230266399,69.046,1514288520
3053,68.697,GREEN,68.697,68.3845133199,68.3845133199,68.697,1514292120
3113,68.207,RED,68.54075666,68.207,68.54075666,68.207,1514295720
3173,69.308,GREEN,69.308,68.37387833,68.37387833,69.308,1514299320
3233,69.8525,GREEN,69.854,68.840939165,68.840939165,69.854,1514302920
3293,70.00025,GREEN,70.001,69.3467195825,69.3467195825,70.0,1514306520
3352,70.8855,GREEN,71.4,69.6734847912,69.6734847912,70.371,1514310120
3412,71.508,GREEN,71.508,70.2794923956,70.2794923956,71.508,1514313720
3472,71.762,GREEN,71.762,70.8937461978,70.8937461978,71.762,1514317320
3532,70.549,RED,71.3278730989,70.549,71.3278730989,70.549,1514320920
3592,72.061,GREEN,72.109,70.9384365495,70.9384365495,72.109,1514324520
3652,70.71,RED,71.4997182747,70.71,71.4997182747,70.71,1514328120
3712,68.735,RED,71.1048591374,68.341,71.1048591374,68.343,1514331720
3772,69.5165,RED,69.9199295687,69.515,69.9199295687,69.515,1514335320
3832,68.427,RED,69.7182147843,68.427,69.7182147843,68.427,1514338920
3951,69.164,GREEN,69.164,69.0726073922,69.0726073922,69.164,1514346120
4011,68.659,RED,69.1183036961,68.659,69.1183036961,68.659,1514349720
4071,68.896,GREEN,68.896,68.888651848,68.888651848,68.896,1514353320
4124,68.996,GREEN,68.996,68.892325924,68.892325924,68.996,1514342520
4132,69.081,GREEN,69.081,68.944162962,68.944162962,69.081,1514356920
4192,67.60375,RED,69.012581481,67.603,69.012581481,67.604,1514360520
4252,67.507,RED,68.3081657405,67.507,68.3081657405,67.507,1514364120
4312,68.114,GREEN,68.819,67.409,67.9075828703,67.409,1514367720
