,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
33,12134.1,RED,12138.0,12130.0,12134.15,12133.4,1514104920
153,11504.05,RED,12134.125,11456.3,12134.125,11500.0,1514112120
273,10556.475,RED,11819.0875,10502.2,11819.0875,10583.0,1514119320
393,11444.0,GREEN,11456.2,11187.78125,11187.78125,11443.5,1514126520
513,11557.425,GREEN,11576.8,11315.890625,11315.890625,11552.7,1514133720
633,11044.975,RED,11436.6578125,11010.0,11436.6578125,11010.0,1514140920
753,11188.25,RED,11240.8164062,11181.7,11240.8164062,11181.7,1514148120
873,11283.05,GREEN,11289.7,11214.5332031,11214.5332031,11289.7,1514155320
993,11906.4,GREEN,11927.2,11248.7916016,11248.7916016,11885.8,1514162520
1113,11352.15,RED,11577.5958008,11351.3,11577.5958008,11351.7,1514169720
1233,11718.25,GREEN,11722.1,11464.8729004,11464.8729004,11714.4,1514176920
1353,11623.9,GREEN,11637.9,11583.1,11591.5614502,11636.7,1514184120
1473,11995.7,GREEN,11996.0,11607.7307251,11607.7307251,11996.0,1514191320
1593,11734.05,RED,11801.7153625,11732.4,11801.7153625,11735.0,1514198520
1713,12122.1,GREEN,12139.4,11767.8826813,11767.8826813,12139.4,1514205720
1833,11633.325,RED,11944.9913406,11604.8,11944.9913406,11604.8,1514212920
1953,11749.6,RED,11789.4,11729.5,11789.1581703,11729.5,1514220120
2073,11769.95,GREEN,11780.0,11760.0,11769.3790852,11760.0,1514227320
2193,11818.85,GREEN,11822.1,11769.6645426,11769.6645426,11816.2,1514234520
2313,11456.55,RED,11794.2572713,11429.4,11794.2572713,11465.4,1514241720
2433,11676.85,GREEN,11735.3,11625.4036356,11625.4036356,11635.5,1514248920
2553,11761.75,GREEN,11770.4,11651.1268178,11651.1268178,11753.1,1514256120
2673,12421.1,GREEN,12423.2,11706.4384089,11706.4384089,12419.0,1514263320
2793,12867.05,GREEN,12888.0,12063.7692045,12063.7692045,12860.2,1514270520
2939,12699.85,GREEN,12700.7,12465.4096022,12465.4096022,12699.0,1514284920
3059,12722.85,GREEN,12750.0,12582.6298011,12582.6298011,12705.7,1514292120
3179,13039.725,GREEN,13049.9,12652.7399006,12652.7399006,13049.7,1514299320
3299,13395.525,GREEN,13444.1,12846.2324503,12846.2324503,13370.0,1514306520
3419,13206.875,GREEN,13222.6,13120.8787251,13120.8787251,13211.1,1514313720
3539,13325.0,GREEN,13350.0,13163.8768626,13163.8768626,13300.0,1514320920
3659,13135.15,RED,13244.4384313,13128.8,13244.4384313,13128.8,1514328120
3779,13027.625,RED,13189.7942156,13017.1,13189.7942156,13017.1,1514335320
3899,13171.1,GREEN,13171.2,13108.7096078,13108.7096078,13171.2,1514342520
4019,13499.45,GREEN,13500.0,13139.9048039,13139.9048039,13500.0,1514349720
4139,13575.15,GREEN,13575.2,13319.677402,13319.677402,13575.2,1514356920
4259,13352.55,RED,13447.413701,13345.0,13447.413701,13351.1,1514364120
4379,12999.3,RED,13399.9818505,12999.0,13399.9818505,12999.2,1514371320
4499,13282.05,GREEN,13287.0,13199.6409252,13199.6409252,13278.4,1514378520
4619,12956.05,RED,13240.8454626,12900.0,13240.8454626,12932.4,1514385720
4739,12544.0,RED,13098.4477313,12526.0,13098.4477313,12550.0,1514392920
4859,12728.525,RED,12821.2238657,12699.1,12821.2238657,12715.0,1514400120
4979,12485.525,RED,12774.8744328,12480.0,12774.8744328,12480.3,1514407320
5099,12990.6,GREEN,13000.0,12630.1997164,12630.1997164,13000.0,1514414520
5219,12835.0,GREEN,12850.0,12810.3998582,12810.3998582,12850.0,1514421720
5339,12600.0,RED,12822.6999291,12600.0,12822.6999291,12600.0,1514428920
5459,12486.05,RED,12711.3499646,12460.1,12711.3499646,12488.1,1514436120
5579,12086.825,RED,12598.6999823,12049.4,12598.6999823,12080.0,1514443320
