,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
33,291.6925,GREEN,292.04,291.5,291.65375,291.73,1514104920
153,278.5,RED,291.673125,278.0,291.673125,278.0,1514112120
273,254.7025,RED,285.0865625,252.3,285.0865625,252.3,1514119320
393,274.285,GREEN,274.38,269.89453125,269.89453125,274.2,1514126520
513,276.8025,GREEN,277.22,272.089765625,272.089765625,277.22,1514133720
633,270.6125,RED,274.446132813,268.83,274.446132813,270.92,1514140920
753,275.0975,GREEN,275.39,272.529316406,272.529316406,275.0,1514148120
873,277.76,GREEN,277.76,273.813408203,273.813408203,277.76,1514155320
993,291.0,GREEN,291.0,275.786704102,275.786704102,291.0,1514162520
1113,282.75,RED,284.0,281.5,283.393352051,281.5,1514169720
1231,282.98,RED,283.071676025,282.97,283.071676025,282.99,1514176920
1351,287.6,GREEN,287.6,283.025838013,283.025838013,287.6,1514184120
1471,292.05,GREEN,292.05,285.312919006,285.312919006,292.05,1514191320
1591,296.81,GREEN,297.0,288.681459503,288.681459503,296.62,1514198520
1713,299.95,GREEN,300.0,292.745729752,292.745729752,300.0,1514205720
1833,286.38,RED,296.347864876,286.38,296.347864876,286.38,1514212920
1953,289.66,RED,291.363932438,289.5,291.363932438,289.5,1514220120
2072,288.74,RED,290.511966219,288.74,290.511966219,288.74,1514227320
2193,287.55,RED,289.625983109,287.41,289.625983109,287.41,1514234520
2313,277.855,RED,288.587991555,277.76,288.587991555,277.84,1514241720
2433,286.13,GREEN,286.5,283.221495777,283.221495777,285.76,1514248920
2553,286.75,GREEN,286.75,284.675747889,284.675747889,286.75,1514256120
2673,299.06,GREEN,299.06,285.712873944,285.712873944,299.06,1514263320
2793,299.195,GREEN,299.23,292.386436972,292.386436972,299.19,1514270520
2939,296.67,GREEN,296.67,295.790718486,295.790718486,296.67,1514284920
3059,292.775,RED,296.230359243,292.55,296.230359243,293.0,1514292120
3178,298.5,GREEN,298.5,294.502679622,294.502679622,298.5,1514299320
3298,294.72,RED,296.501339811,294.72,296.501339811,294.72,1514306520
3416,295.04,RED,295.610669905,295.04,295.610669905,295.04,1514313720
3536,301.5,GREEN,301.5,295.325334953,295.325334953,301.5,1514320920
3656,293.14,RED,298.412667476,293.14,298.412667476,293.14,1514328120
3776,306.175,GREEN,306.35,295.776333738,295.776333738,306.35,1514335320
3896,323.69,GREEN,323.69,300.975666869,300.975666869,323.69,1514342520
4016,328.765,GREEN,329.16,312.332833435,312.332833435,328.37,1514349720
4136,328.94,GREEN,328.94,320.548916717,320.548916717,328.94,1514356920
4256,322.48,RED,324.744458359,322.48,324.744458359,322.48,1514364120
4376,313.91,RED,323.612229179,313.32,323.612229179,313.32,1514371320
4496,314.25,RED,318.76111459,314.25,318.76111459,314.25,1514378520
4616,310.95,RED,316.505557295,309.5,316.505557295,310.0,1514385720
4736,295.54,RED,313.727778647,295.5,313.727778647,295.55,1514392920
4856,305.0225,GREEN,305.03,304.633889324,304.633889324,305.02,1514400120
4976,300.16,RED,304.828194662,299.78,304.828194662,300.54,1514407320
5096,309.2825,GREEN,309.8,302.494097331,302.494097331,309.3,1514414520
5216,310.93,GREEN,310.93,305.888298665,305.888298665,310.93,1514421720
5336,300.195,RED,308.409149333,299.87,308.409149333,299.87,1514428920
5456,300.715,RED,304.302074666,300.71,304.302074666,300.72,1514436120
5576,287.605,RED,302.508537333,286.31,302.508537333,286.31,1514443320
