,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
33,441.715,GREEN,442.09,441.59,441.6525,441.59,1514104920
93,440.2555,RED,441.68375,439.921,441.68375,439.921,1514108520
153,409.43525,RED,440.969625,408.52,440.969625,410.0,1514112120
213,387.8875,RED,425.2024375,383.0,425.2024375,383.0,1514115720
273,382.275,RED,406.54496875,380.01,406.54496875,384.54,1514119320
333,407.7625,GREEN,407.83,394.409984375,394.409984375,407.74,1514122920
393,416.91725,GREEN,419.209,401.086242187,401.086242187,416.18,1514126520
453,409.555,GREEN,411.05,408.12,409.001746094,410.93,1514130120
512,423.04,GREEN,423.04,409.278373047,409.278373047,423.04,1514133720
572,437.37,GREEN,437.37,416.159186523,416.159186523,437.37,1514137320
632,429.963,GREEN,429.963,426.764593262,426.764593262,429.963,1514140920
691,426.71,RED,428.363796631,426.71,428.363796631,426.71,1514144520
753,434.8355,GREEN,435.511,427.536898315,427.536898315,435.511,1514148120
812,436.148,GREEN,436.148,431.186199158,431.186199158,436.148,1514151720
873,436.27,GREEN,436.27,433.667099579,433.667099579,436.27,1514155320
933,455.003,GREEN,455.003,434.968549789,434.968549789,455.003,1514158920
993,459.649,GREEN,459.649,444.985774895,444.985774895,459.649,1514162520
1053,447.371,RED,452.317387447,447.371,452.317387447,447.371,1514166120
1113,447.06,RED,449.844193724,446.94,449.844193724,447.17,1514169720
1173,444.5695,RED,448.452096862,443.303,448.452096862,445.742,1514173320
1233,447.84,GREEN,447.84,446.510798431,446.510798431,447.84,1514176920
1293,452.239,GREEN,453.59,447.175399215,447.175399215,450.888,1514180520
1353,450.015,GREEN,450.03,449.707199608,449.707199608,450.0,1514184120
1412,457.684,GREEN,457.684,449.861099804,449.861099804,457.684,1514187720
1472,461.0,GREEN,461.0,453.772549902,453.772549902,461.0,1514191320
1532,465.86,GREEN,465.94,457.386274951,457.386274951,465.94,1514194920
1592,457.173,RED,461.623137475,457.173,461.623137475,457.173,1514198520
1653,462.0,GREEN,462.0,459.398068738,459.398068738,462.0,1514202120
1771,478.35,GREEN,478.35,460.699034369,460.699034369,478.35,1514209320
1792,475.0,GREEN,475.0,469.524517184,469.524517184,475.0,1514205720
1833,473.901,GREEN,475.001,472.262258592,472.262258592,475.001,1514212920
1893,455.8015,RED,473.081629296,453.253,473.081629296,458.35,1514216520
