,ID,PRICE,SIGN,TIMESTAMP,CASH
0,1,2378.0,1,1514126520,-100.0
1,1,2217.9,-1,1514140920,93.26745164
2,2,2290.0,1,1514151720,-93.26745164
3,2,2285.0,-1,1514169720,93.0638109159
4,3,2370.0,1,1514176920,-93.0638109159
5,3,2350.4,-1,1514212920,92.2941692729
6,4,2374.3,1,1514230920,-92.2941692729
7,4,2325.9,-1,1514238120,90.4127567333
8,5,2325.5,1,1514248920,-90.4127567333
9,5,2311.2,-1,1514256120,89.8567892333
10,6,2370.0,1,1514263320,-89.8567892333
11,6,2383.0,-1,1514284920,90.3496745751
12,7,2385.8,1,1514310120,-90.3496745751
13,7,2351.1,-1,1514317320,89.0355938861
14,8,2344.4,1,1514378520,-89.0355938861
15,8,2326.4,-1,1514385720,88.3519901112
16,9,2283.8,1,1514414520,-88.3519901112
17,9,2093.3,-1,1514432520,80.9822317627
