,ID,PRICE,SIGN,TIMESTAMP,CASH
0,1,60.34,1,1514106720,-100.0
1,1,55.266,-1,1514112120,91.5909844216
2,2,55.382,1,1514122920,-91.5909844216
3,2,54.819,-1,1514131920,90.6598926548
4,3,56.042,1,1514135520,-90.6598926548
5,3,53.981,-1,1514139120,87.3257854002
6,4,54.752,1,1514148120,-87.3257854002
7,4,57.571,-1,1514166120,91.8219022369
8,5,57.26,1,1514180520,-91.8219022369
9,5,57.492,-1,1514211120,92.1939364898
10,6,58.99,1,1514230920,-92.1939364898
11,6,58.645,-1,1514238120,91.6547449643
12,7,60.0,1,1514248920,-91.6547449643
13,7,67.5,-1,1514274120,103.111588085
14,8,69.717,1,1514286720,-103.111588085
15,8,70.5,-1,1514329920,104.269646714
16,9,69.21,1,1514344320,-104.269646714
17,9,68.659,-1,1514349720,103.439527146
18,10,69.464,1,1514355120,-103.439527146
19,10,67.289,-1,1514373120,100.200713206
20,11,68.153,1,1514376720,-100.200713206
21,11,68.316,-1,1514383920,100.440361002
22,12,67.37,1,1514400120,-100.440361002
23,12,66.343,-1,1514405520,98.9092306655
24,13,67.982,1,1514419920,-98.9092306655
25,13,66.72,-1,1514423520,97.0731056751
